Designator,Mid X,Mid Y,Rotation,Layer
D1,132.715,-68.8975,90.0,bottom
D10,151.765,-106.9975,90.0,bottom
D11,170.815,-106.9975,90.0,bottom
D12,132.715,-126.0475,90.0,bottom
D13,151.765,-126.0475,90.0,bottom
D14,170.815,-126.0475,90.0,bottom
D15,189.865,-135.5725,90.0,bottom
D16,142.24,-145.0975,90.0,bottom
D17,170.815,-145.0975,90.0,bottom
D2,151.765,-68.8975,90.0,bottom
D3,170.815,-68.8975,90.0,bottom
D4,189.865,-68.8975,90.0,bottom
D5,132.715,-87.9475,90.0,bottom
D6,151.765,-87.9475,90.0,bottom
D7,170.815,-87.9475,90.0,bottom
D8,189.865,-97.4725,90.0,bottom
D9,132.715,-106.9975,90.0,bottom
S1,123.19,-66.04,0.0,top
S10,142.24,-104.14,0.0,top
S11,161.29,-104.14,0.0,top
S12,123.19,-123.19,0.0,top
S13,142.24,-123.19,0.0,top
S14,161.29,-123.19,0.0,top
S15,180.34,-132.715,0.0,top
S16,132.715,-142.24,0.0,top
S17,161.29,-142.24,0.0,top
S2,142.24,-66.04,0.0,top
S3,161.29,-66.04,0.0,top
S4,180.34,-66.04,0.0,top
S5,123.19,-85.09,0.0,top
S6,142.24,-85.09,0.0,top
S7,161.29,-85.09,0.0,top
S8,180.34,-94.615,0.0,top
S9,123.19,-104.14,0.0,top
U1,175.5775,-46.99,90.0,top
